badge,city,companyField,company_name,job_edu,job_exp,job_name,job_publisher_name,job_publisher_post,job_sec,job_tags,job_url,positionAdvantage,publish_time
10k-15k,北京,"移动互联网,金融",杭州财米科技有限公司,不限,1-3年,数据分析师 (MJ000766),,,不限,,https://www.lagou.com/jobs/4155069.html,五险一金,2018-03-07 16:46:52
10k-20k,北京,"金融,移动互联网",中信百信银行股份有限公司,本科,1-3年,数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3706684.html,"平台空间,银行福利,大牛多,股权期权",2018-03-05 15:18:01
25k-35k,北京,移动互联网,北京趣拿软件科技有限公司,本科,3-5年,数据分析工程师-专车事业部,,,本科,"高级,大数据,数据挖掘,算法",https://www.lagou.com/jobs/4227618.html,发展前景广阔，福利待遇优厚，工作环境优良,2018-03-08 14:58:21
6k-12k,北京,"广告营销,文化娱乐",北京爱奇艺科技有限公司,本科,1-3年,数据分析师,,,本科,"广告营销,大数据,统计,SPSS",https://www.lagou.com/jobs/3828899.html,福利待遇好高，职业发展前景好,2018-03-05 17:24:34
15k-25k,杭州,"金融,数据服务",杭州恩牛网络技术有限公司,本科,3-5年,数据分析师,,,本科,"数据挖掘,SPSS",https://www.lagou.com/jobs/3166155.html,"全员MAC,弹性工作制,餐饮补贴,六险一金",2018-03-08 10:34:28
8K-16K,杭州,"移动互联网,O2O",杭州大搜车汽车服务有限公司,不限,不限,数据分析师,,,不限,"大数据,BI,业务运营",https://www.lagou.com/jobs/4196384.html,E轮融资，独角兽公司，未来有很大发展空间,2018-03-03 10:20:36
20k-35k,杭州,O2O,点我达网络科技有限公司,本科,3-5年,数据分析主管,,,本科,"大数据,BI,产品经理",https://www.lagou.com/jobs/4104671.html,阿里系 15-18薪 扁平化管理 出国游,2018-03-08 14:13:20
10K-15K,杭州,"移动互联网,数据服务",浙江执御信息技术有限公司,本科,1-3年,数据分析,,,本科,"电商,BI,数据挖掘,SQL,SPSS",https://www.lagou.com/jobs/3193728.html,一个有梦想有挑战的公司，赶紧加入吧,2018-03-08 10:18:00
2k-4k,杭州,"移动互联网,金融",杭州财米科技有限公司,本科,不限,数据分析实习生,,,本科,大数据,https://www.lagou.com/jobs/1782499.html,弹性工作专业分享早餐下午茶晚餐,2018-03-07 16:46:53
12k-24k,杭州,"企业服务,数据服务",杭州观数信息科技有限公司,本科,3-5年,数据分析师,,,本科,"金融,资深,大数据,数据挖掘,BI",https://www.lagou.com/jobs/3045803.html,"成长空间,牛人团队,独挡一面,期权激励",2018-03-08 19:24:23
16k-32k,杭州,移动互联网,北京嘀嘀无限科技发展有限公司,本科,3-5年,数据分析师,,,本科,"算法,数据挖掘,机器学习,大数据",https://www.lagou.com/jobs/4160546.html,"大平台,六险一金,薪资待遇,发展空间",2018-03-08 22:37:26
4k-8k,杭州,"移动互联网,电子商务",杭州多麦电子商务股份有限公司,大专,1-3年,数据分析,,,大专,"大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/4186571.html,弹性工作 国内外旅游 各种补贴 扁平化管理,2018-03-08 15:59:42
15K-20K,杭州,"企业服务,移动互联网",心怡科技股份有限公司,本科,5-10年,数据分析,,,本科,"主管,人事,薪酬福利,SPSS",https://www.lagou.com/jobs/4079521.html,"C轮融资,阿里投资,办公氛围好",2018-03-05 17:32:13
20k-35k,杭州,"信息安全,数据服务",同盾科技有限公司,本科,5-10年,数据分析,,,本科,"大数据,数据挖掘,算法",https://www.lagou.com/jobs/3902867.html,"五险一金,带薪年假",2018-03-07 11:37:44
20k-40k,杭州,"移动互联网,金融",杭州万家乐网络科技有限公司,本科,3-5年,数据分析师,,,本科,"风控,经理,大数据,数据挖掘,SPSS",https://www.lagou.com/jobs/3989357.html,"五险一金,节假日福利,等等",2018-03-06 10:47:58
10k-20k,杭州,"电子商务,移动互联网",浙江集商优选电子商务有限公司,本科,3-5年,大数据分析师,,,本科,,https://www.lagou.com/jobs/4216666.html,"千万级用户,股票期权,弹性工作,试用期全",2018-03-07 10:00:59
10k-15k,杭州,移动互联网,浙江格家网络技术有限公司,本科,3-5年,数据分析师,,,本科,,https://www.lagou.com/jobs/4149580.html,"发展前景好,成长空间,团建活动",2018-03-07 19:44:12
15k-25k,杭州,"企业服务,数据服务",华院数据技术（上海）有限公司,硕士,3-5年,大数据分析师,,,硕士,"算法,数据挖掘,SPSS",https://www.lagou.com/jobs/4076169.html,"六险一金,10天年假,学院氛围,年度旅游",2018-03-07 17:59:52
20k-35k,杭州,"企业服务,数据服务",北京数美时代科技有限公司,本科,1-3年,数据分析师,,,本科,"资深,高级,中级,大数据,数据挖掘",https://www.lagou.com/jobs/3761791.html,"大牛如云,飞速发展,海量数据,海量数据",2018-03-07 00:25:04
18k-36k,深圳,"移动互联网 ,游戏",腾讯科技(深圳)有限公司,本科,3-5年,mig -- 数据分析师,,,本科,数据挖掘,https://www.lagou.com/jobs/3527516.html,大平台,2018-03-08 09:53:56
15k-30k,深圳,"移动互联网,金融",深圳市随手科技有限公司,本科,5-10年,数据分析主管,,,本科,"高级,大数据,数据挖掘",https://www.lagou.com/jobs/2945659.html,"互联网金融,2亿用户,完善的福利,氛围好",2018-03-07 10:19:06
